"Medida","Valor"
"Sesgo_Pearson_1",0.525185
"Sesgo_Pearson_2",0.137495
"Sesgo_Bowley",0.039232
"Sesgo_Kelly_10_90",0.061449
"Curtosis_Fisher",1.875672
"Curtosis_Exceso",-1.124328
"Curtosis_Moors",0.609139
