"Intervalo","Marca","Z"
"6 - 8",7,-1.5095
"8 - 10",9,-1.129274
"10 - 12",11,-0.749047
"12 - 14",13,-0.36882
"14 - 16",15,0.011407
"16 - 18",17,0.391634
"18 - 20",19,0.77186
"20 - 22",21,1.152087
"22 - 24",23,1.532314
"24 - 26",25,1.912541
"26 - 28",27,2.292768
"28 - 30",29,2.672994
"30 - 32",31,3.053221
"32 - 34",33,3.433448
"34 - 36",35,3.813675
