"Medida","Valor"
"m1",14.94
"m2",250.871396
"m3",4593.342113
"m4",89421.113509
"mu1",0
"mu2",27.667796
"mu3",18.609702
"mu4",1435.840314
"m1_mediana",0.241075
"m2_mediana",27.725914
"m3_mediana",38.633777
"m4_mediana",1463.436911
"m1_moda",2.762485
"m2_moda",35.299121
"m3_moda",268.986757
"m4_moda",2966.565128
"a1",0
"a2",1
"a3",0.127873
"a4",1.875672
"a1_moda",0.525185
"a2_moda",1.27582
"a3_moda",1.848285
"a4_moda",3.875295
